,value,metric,type
0,0.27377733684102695,ade,ml
1,0.1195179316799438,ade,ml
2,1.1904100233302592,ade,ml
3,0.980551745891408,ade,ml
4,0.023603104014648543,ade,ml
5,0.13801161252114144,ade,ml
6,0.2714284793558546,ade,ml
7,0.5913514360288433,ade,ml
8,0.626568039162783,ade,ml
9,0.06132520080229522,ade,ml
10,0.20487079475954026,ade,ml
11,0.5779748630601956,ade,ml
12,0.9875309462946626,ade,ml
13,0.24740015824402165,ade,ml
14,0.18515016024588524,ade,ml
15,0.26948174977643086,ade,ml
16,1.003369802915692,ade,ml
17,0.6586807561968296,ade,ml
18,0.7646728755250249,ade,ml
19,0.42213344926716134,ade,ml
20,0.4260049549058443,ade,ml
21,1.1542650102897534,ade,ml
22,0.29035823542239725,ade,ml
23,0.20641754863745265,ade,ml
24,0.7842697340252931,ade,ml
25,0.6373159220821659,ade,ml
26,0.1325784244320147,ade,ml
27,0.35393026112658577,ade,ml
28,0.802864654971121,ade,ml
29,1.1626944947085986,ade,ml
30,0.744083275418161,ade,ml
31,0.6826646976724989,ade,ml
32,0.516582898690127,ade,ml
33,0.6306799108305841,ade,ml
34,0.6357861710784306,ade,ml
35,0.39847776729244977,ade,ml
36,0.873128332633375,ade,ml
37,0.19319211326904143,ade,ml
38,0.2431938796077726,ade,ml
39,0.7245230695433754,ade,ml
40,0.1032423804574147,ade,ml
41,0.9453338718375838,ade,ml
42,0.9808593810287789,ade,ml
43,0.7906865370902448,ade,ml
44,1.1028818706707992,ade,ml
45,0.1924981317559713,ade,ml
46,0.5819220739413253,ade,ml
47,0.4337990697193219,ade,ml
48,0.428727847151462,ade,ml
49,0.7521713869441422,ade,ml
50,0.2582313680416795,ade,ml
51,0.4770054847480627,ade,ml
52,0.88664350949281,ade,ml
53,0.22018156182506785,ade,ml
54,0.5668570399576981,ade,ml
55,0.5762022176328494,ade,ml
56,0.3937764540469046,ade,ml
57,0.7236815079184072,ade,ml
58,0.3059530331948184,ade,ml
59,0.3313119878882403,ade,ml
60,0.7719152707740213,ade,ml
61,0.24324500116410283,ade,ml
62,1.0166712800894893,ade,ml
63,0.4562463327871262,ade,ml
64,0.3987665471274476,ade,ml
65,0.5556997389481677,ade,ml
66,0.16089378019024905,ade,ml
67,0.5861694841315904,ade,ml
68,0.7885167230695976,ade,ml
69,0.5735450489805715,ade,ml
70,0.2995100719533658,ade,ml
71,0.16281912412443608,ade,ml
72,2.0163288530736296,ade,ml
73,1.4251461434630777,ade,ml
74,0.38852391158053123,ade,ml
75,0.2576574674471556,ade,ml
76,0.328296342102781,ade,ml
77,1.3577794416386755,ade,ml
78,0.1771203289011282,ade,ml
79,0.24099689858249781,ade,ml
80,0.1886410314892063,ade,ml
81,0.9093424533731967,ade,ml
82,0.41391801211357854,ade,ml
83,0.17012442004133144,ade,ml
84,0.6480162631884201,ade,ml
85,1.025773633208672,ade,ml
86,0.19280215070812612,ade,ml
87,0.0801537336995818,ade,ml
88,0.8608899340832901,ade,ml
89,0.7976286721323831,ade,ml
90,0.5560526165722565,ade,ml
91,0.34578580007630005,ade,ml
92,0.2988363035003574,ade,ml
93,0.7330552389415681,ade,ml
94,0.5791930973379202,ade,ml
95,0.48850910981906487,ade,ml
96,0.8804370525690496,ade,ml
97,0.4460091675799833,ade,ml
98,0.6029980041754026,ade,ml
99,0.5873295557700318,ade,ml
100,0.5281277119356494,ade,ml
101,0.3849526621883905,ade,ml
102,0.5174979669184726,ade,ml
103,0.8906092996081241,ade,ml
104,0.1871859126109993,ade,ml
105,0.5555198145768593,ade,ml
106,0.09100420158487103,ade,ml
107,0.7640847595755305,ade,ml
108,0.402421717122771,ade,ml
109,1.0039594455332737,ade,ml
110,0.2499566279576583,ade,ml
111,0.33242895661907684,ade,ml
112,0.08629411297514043,ade,ml
113,0.6168507894154631,ade,ml
114,0.5617703461783351,ade,ml
115,0.21482602078679383,ade,ml
116,1.122615354062679,ade,ml
117,0.44490226680734635,ade,ml
118,0.9383614032394089,ade,ml
119,0.41268616800104857,ade,ml
120,2.0362493031611084,ade,ml
121,0.15132985652742925,ade,ml
122,0.4674570139557372,ade,ml
123,0.3753806305265031,ade,ml
124,1.5385047472488356,ade,ml
125,0.2695572993351792,ade,ml
126,0.20459312325387172,ade,ml
127,0.34120802667405825,ade,ml
128,0.6764500533405448,ade,ml
129,0.486963494322485,ade,ml
130,0.6776172860199133,ade,ml
131,0.40801635847733014,ade,ml
132,0.7032457813309047,ade,ml
133,0.5213898584789458,ade,ml
134,0.539831427311828,ade,ml
135,1.4520003844824474,ade,ml
136,1.0628771351052224,ade,ml
137,0.5870491821302402,ade,ml
138,1.1590552614318732,ade,ml
139,0.9684893025313054,ade,ml
140,0.5900742232799295,ade,ml
141,0.7139295596069436,ade,ml
142,0.1741738574632068,ade,ml
143,0.31760578272783807,ade,ml
144,0.7252469962020696,ade,ml
145,0.36945170665882837,ade,ml
146,0.38861935891173577,ade,ml
147,0.5372465528273237,ade,ml
148,0.6189525458275228,ade,ml
149,0.5439991093120095,ade,ml
150,0.604025078835776,ade,ml
151,0.7457719742725487,ade,ml
152,0.6718481395309389,ade,ml
153,0.8822535583294041,ade,ml
154,0.836085528396687,ade,ml
155,1.0037342819586403,ade,ml
156,1.2046478690831568,ade,ml
157,1.1511803975146941,ade,ml
158,1.1619313405851555,ade,ml
159,0.566583588624538,ade,ml
160,0.30864287732538404,ade,ml
161,0.38048625666049096,ade,ml
162,0.5198838633350938,ade,ml
163,0.7545595821313303,ade,ml
164,0.6643824495917038,ade,ml
165,1.5789995032132123,ade,ml
166,0.19311650849692777,ade,ml
167,0.5914759163910677,ade,ml
168,0.168473027061855,ade,ml
169,0.8132467910205791,ade,ml
170,0.24584934576223386,ade,ml
171,0.8712038926465828,ade,ml
172,0.40015576306466166,ade,ml
173,1.3579895061406315,ade,ml
174,1.5677005129937882,ade,ml
175,0.8117258088072741,ade,ml
176,1.1352190795588584,ade,ml
177,0.2074289504019756,ade,ml
178,0.49113420387882895,ade,ml
179,0.5240844989697115,ade,ml
180,0.4752200616986347,ade,ml
181,0.7926840223962096,ade,ml
182,0.2528861903251164,ade,ml
183,0.5536207315957516,ade,ml
184,0.1756220566602631,ade,ml
185,0.4743370226914771,ade,ml
186,0.30877794927664637,ade,ml
187,0.017461132933741224,ade,ml
188,1.012539025777353,ade,ml
189,1.105994220758816,ade,ml
190,0.01444639184554422,ade,ml
191,0.6349197617580445,ade,ml
192,0.7166945540995086,ade,ml
193,0.014120157854614518,ade,ml
194,1.389430349212903,ade,ml
195,0.28645507168148193,ade,ml
196,0.01356686345572887,ade,ml
197,0.535041500151125,ade,ml
198,0.2570040531916938,ade,ml
199,0.013723515490983634,ade,ml
200,0.5597622140558469,ade,ml
201,0.2962945655121682,ade,ml
202,0.02040454388255718,ade,ml
203,1.3130041033313942,ade,ml
204,1.497290180526778,ade,ml
205,0.020118702229091134,ade,ml
206,1.2084266063568612,ade,ml
207,1.1577458229676045,ade,ml
208,0.020192990180522653,ade,ml
209,0.2126363943949198,ade,ml
210,0.22195022081829544,ade,ml
211,0.020483676866135583,ade,ml
212,0.4925437869798073,ade,ml
213,0.12166738248423763,ade,ml
214,0.020429779345895096,ade,ml
215,0.3162349504391287,ade,ml
216,0.501227698477665,ade,ml
217,0.020987379095700604,ade,ml
218,0.480250189145925,ade,ml
219,0.40648223158304475,ade,ml
220,0.020972452307164796,ade,ml
221,0.9910486233253862,ade,ml
222,1.1558362766669525,ade,ml
223,0.02078839362750294,ade,ml
224,0.8463053525651606,ade,ml
225,0.9490517252272941,ade,ml
226,0.020374732813207827,ade,ml
227,1.1379798286657694,ade,ml
228,0.7534239857203199,ade,ml
229,0.02058313285657405,ade,ml
230,0.6781035335255936,ade,ml
231,0.34323457024494997,ade,ml
232,0.020535756823603552,ade,ml
233,1.8098543588765394,ade,ml
234,1.7798089011043772,ade,ml
235,0.020248690917428397,ade,ml
236,0.9312879180004745,ade,ml
237,0.866408803040439,ade,ml
238,0.020350650771487604,ade,ml
239,0.9213824629219616,ade,ml
240,1.085986332217981,ade,ml
241,0.020578309113599647,ade,ml
242,0.8759353219334539,ade,ml
243,1.260750627392693,ade,ml
244,0.020429526775436024,ade,ml
245,0.482492209154854,ade,ml
246,0.1210444517390763,ade,ml
247,0.02054263191420473,ade,ml
248,0.02051751117832598,ade,ml
249,0.020308332186110157,ade,ml
250,0.020356022954158733,ade,ml
251,0.013261700355283448,ade,ml
252,0.013261700355283448,ade,ml
253,0.013261700355283448,ade,ml
254,0.013261700355283448,ade,ml
255,0.013261700355283448,ade,ml
256,0.46595624332997226,ade,ml
257,0.018441402196066107,ade,ml
258,0.811224657375582,ade,ml
259,0.01877442595441866,ade,ml
260,1.190021385964945,ade,ml
261,0.016824779308203454,ade,ml
262,1.113054361472374,ade,ml
263,0.02794422025462605,ade,ml
264,0.2215481265120772,ade,ml
265,0.09166441191328996,ade,ml
266,0.6640682824328925,ade,ml
267,0.2635414437726051,ade,ml
268,0.2084594291132378,ade,ml
269,0.566939267679116,ade,ml
270,0.40243968925475976,ade,ml
271,1.0125805500349208,ade,ml
272,1.0341971724747552,ade,ml
273,1.3432574021510761,ade,ml
274,0.4988619756539261,ade,ml
275,0.3485589825404267,ade,ml
276,0.20760728154768393,ade,ml
277,0.1777568539843063,ade,ml
278,0.3018262722841732,ade,ml
279,0.32446238005847977,ade,ml
280,1.3126614680611357,ade,ml
281,0.642435294334689,ade,ml
282,1.113449929496847,ade,ml
283,0.48775427608193006,ade,ml
284,0.27162083807841636,ade,ml
285,0.3928941777044563,ade,ml
286,0.32574631441606056,ade,ml
287,0.3761207008342855,ade,ml
288,0.5124066143760788,ade,ml
289,0.3712095866236335,ade,ml
290,0.7769229247460748,ade,ml
291,0.6795363252447376,ade,ml
292,1.4790571162059252,ade,ml
293,0.4751433042861808,ade,ml
294,0.29984429222167136,ade,ml
295,0.3092237664476258,ade,ml
296,0.237317780917267,ade,ml
297,0.6740691283084482,ade,ml
298,0.6511001501437714,ade,ml
299,0.9336027994728772,ade,ml
300,0.404089564660903,ade,ml
301,0.3208463082018557,ade,ml
302,0.4106786900022741,ade,ml
303,0.24816462949432005,ade,ml
304,0.6148781466054358,ade,ml
305,0.3886716094368401,ade,ml
306,0.3786851639462765,ade,ml
307,0.1976271764486743,ade,ml
308,0.6718311534166332,ade,ml
309,0.3081069002883344,ade,ml
310,0.07979354415584844,ade,ml
311,0.38427462089311765,ade,ml
312,0.6280473804244416,ade,ml
313,0.3726131704315288,ade,ml
314,0.2614827120793227,ade,ml
315,0.4061351055001949,ade,ml
316,0.35238839671600886,ade,ml
317,0.38344945095352395,ade,ml
318,0.22832625653582742,ade,ml
319,0.41241841673817864,ade,ml
320,0.45186759631878276,ade,ml
321,0.1749545607379537,ade,ml
322,1.006278116539043,ade,ml
323,0.26089535895126353,ade,ml
324,0.33272813349603814,ade,ml
325,0.18876367073551012,ade,ml
326,0.28028373880867646,ade,ml
327,0.24219690884468736,ade,ml
328,0.8398514481329403,ade,ml
329,0.18481637935933426,ade,ml
330,0.2457056072054964,ade,ml
331,0.10464300141362648,ade,ml
332,0.17668522085038715,ade,ml
333,0.1435203657573946,ade,ml
334,0.7324119107532763,ade,ml
335,0.27152219363905733,ade,ml
336,1.2809758125069222,ade,ml
337,0.1994400940832961,ade,ml
338,0.45515076384260916,ade,ml
339,0.3083378323473315,ade,ml
340,0.610239342325834,ade,ml
341,0.4277192617180064,ade,ml
342,0.7254972422267222,ade,ml
343,0.26453908247310726,ade,ml
344,0.26303134992523014,ade,ml
345,0.3288291450630801,ade,ml
346,0.48852221686963954,ade,ml
347,0.1862677980376132,ade,ml
348,0.8619123955625257,ade,ml
349,0.8028109641363571,ade,ml
350,0.9505967975395565,ade,ml
351,0.17960306185728048,ade,ml
352,1.0097626788078369,ade,ml
353,0.8387815672277522,ade,ml
354,0.6112502111442567,ade,ml
355,0.2701021167198236,ade,ml
356,0.364551414336621,ade,ml
357,0.3014142395794556,ade,ml
358,1.8095620449418106,ade,ml
359,0.3022953554527487,ade,ml
360,0.5003247732396602,ade,ml
361,0.45853046798708297,ade,ml
362,1.8519540072861485,ade,ml
363,0.2770764253655587,ade,ml
364,0.2903128201531156,ade,ml
365,0.6956960772381825,ade,ml
366,1.5146178329078628,ade,ml
367,0.5579885024351344,ade,ml
368,0.27788696922528905,ade,ml
369,1.0697037160035618,ade,ml
370,0.7236880114325093,ade,ml
371,1.0295640306932663,ade,ml
372,0.8962391770613056,ade,ml
373,0.22066159309099642,ade,ml
374,0.64618013660608,ade,ml
375,0.36452485180625205,ade,ml
376,0.7908849922722428,ade,ml
377,0.5782195136936076,ade,ml
378,1.4239928979194225,ade,ml
379,0.270190597975386,ade,ml
380,0.597351421721128,ade,ml
381,0.24845835374317335,ade,ml
382,0.9509151044202507,ade,ml
383,0.12846408101592707,ade,ml
384,0.37991334032285673,ade,ml
385,0.2374334419381383,ade,ml
386,1.574610666386305,ade,ml
387,0.16728687263150124,ade,ml
388,0.366515453358091,ade,ml
389,0.42686023509119647,ade,ml
390,0.48502851840840844,ade,ml
391,0.2272072010937137,ade,ml
392,0.05867823925048828,ade,ml
393,0.5527562832286547,ade,ml
394,0.6410102213165677,ade,ml
395,0.18901196334567336,ade,ml
396,0.09361259423054462,ade,ml
397,0.6685607495342435,ade,ml
398,0.6700889179465269,ade,ml
399,0.5358124848421738,ade,ml
400,0.09709506713778017,ade,ml
401,0.347468258430161,ade,ml
402,1.0652039954223482,ade,ml
403,0.3302627191430864,ade,ml
404,0.2412596019169401,ade,ml
405,0.16875830835785363,ade,ml
406,0.7182398079753076,ade,ml
407,0.3106942435324014,ade,ml
408,0.10976372359967546,ade,ml
409,0.18002707105274426,ade,ml
410,1.933673876505459,ade,ml
411,0.5054371405917842,ade,ml
412,0.13188018980620222,ade,ml
413,0.8526707837942077,ade,ml
414,0.7117080348857306,ade,ml
415,0.14130972280342702,ade,ml
416,0.8251060985042967,ade,ml
417,0.697484416393785,ade,ml
418,0.1611912931435029,ade,ml
419,1.1026551410327068,ade,ml
420,0.5699696997822864,ade,ml
421,0.0816994352656187,ade,ml
422,0.5935243016770316,ade,ml
423,0.8983259229666984,ade,ml
424,0.03988987945119765,ade,ml
425,0.43328691104903544,ade,ml
426,1.0485117276058677,ade,ml
427,0.07135533109395202,ade,ml
428,0.6333588111564017,ade,ml
429,0.7858503311971937,ade,ml
430,0.05021984353374256,ade,ml
431,0.9395920189095488,ade,ml
432,0.5448997292258391,ade,ml
433,0.07073731029935176,ade,ml
434,0.5525211010483367,ade,ml
435,0.04505076576240747,ade,ml
436,0.6785603654504913,ade,ml
437,0.02452472821967036,ade,ml
438,0.6901124899773897,ade,ml
439,0.023845876875972033,ade,ml
440,0.5293045890057068,ade,ml
441,0.014264254805853277,ade,ml
442,0.408444840547825,ade,ml
443,0.02284565617293577,ade,ml
