,value,metric,type
0,0.3098400118510019,ade,ml
1,0.466085873301365,ade,ml
2,1.694203156538906,ade,ml
3,1.827894163872118,ade,ml
4,0.14999303071825607,ade,ml
5,0.246904744163232,ade,ml
6,0.7822263585449213,ade,ml
7,1.0502060942117697,ade,ml
8,1.0381353503339992,ade,ml
9,0.3127683547450257,ade,ml
10,0.3456717827361235,ade,ml
11,1.2495459525063592,ade,ml
12,1.6014223389728737,ade,ml
13,0.4348867406115382,ade,ml
14,0.5943891432809805,ade,ml
15,0.5133303994915305,ade,ml
16,1.777356353899756,ade,ml
17,1.1684071619560836,ade,ml
18,1.1994293882254867,ade,ml
19,0.9733979416443973,ade,ml
20,0.7607922141982889,ade,ml
21,1.8863965930604631,ade,ml
22,0.7267679087500726,ade,ml
23,0.33531454081720247,ade,ml
24,1.4331002856381512,ade,ml
25,1.05922502634385,ade,ml
26,0.4182235105467753,ade,ml
27,0.8052406924320193,ade,ml
28,1.6014758632488035,ade,ml
29,1.8961347978970144,ade,ml
30,1.2009336542359346,ade,ml
31,1.4974030681204342,ade,ml
32,0.9861934025338308,ade,ml
33,1.2575293989380234,ade,ml
34,0.976097097517547,ade,ml
35,0.6962803644638423,ade,ml
36,1.7719238798428742,ade,ml
37,0.34130644209857264,ade,ml
38,0.6048908300148389,ade,ml
39,1.4652878922462895,ade,ml
40,0.2127464187051657,ade,ml
41,1.8144729244659017,ade,ml
42,1.37792808969727,ade,ml
43,1.4840155050347736,ade,ml
44,2.0702943480858362,ade,ml
45,0.43549524957559904,ade,ml
46,1.1111729095661191,ade,ml
47,0.6030103716380298,ade,ml
48,0.6615351060850071,ade,ml
49,1.4890072219262434,ade,ml
50,0.7099748505856136,ade,ml
51,0.8791810326621887,ade,ml
52,1.744130406641849,ade,ml
53,0.39157605865341993,ade,ml
54,1.1630098698917763,ade,ml
55,1.266885536225531,ade,ml
56,0.6485126469052268,ade,ml
57,1.4349532127889588,ade,ml
58,1.045121794535774,ade,ml
59,0.7159816804672556,ade,ml
60,1.5699790722651679,ade,ml
61,0.30890976050838803,ade,ml
62,2.334923821991515,ade,ml
63,1.3662714642165092,ade,ml
64,0.7629051785816879,ade,ml
65,1.0911827862463712,ade,ml
