,value,metric,type
0,0.30847994935029127,fde,ml
1,1.9225477776520534,fde,ml
2,3.3966392568515826,fde,ml
3,4.939053154370297,fde,ml
4,0.7616008600034404,fde,ml
5,0.6670353498895519,fde,ml
6,2.7772564180588546,fde,ml
7,2.7213571856013736,fde,ml
8,2.597656986550743,fde,ml
9,1.3975073315221285,fde,ml
10,0.9558195906283955,fde,ml
11,3.727488917794312,fde,ml
12,3.9703467101016083,fde,ml
13,1.1508660214006035,fde,ml
14,2.2266979213185807,fde,ml
15,1.4347716834319901,fde,ml
16,4.502494710865602,fde,ml
17,2.9174830612849316,fde,ml
18,2.9015219372331775,fde,ml
19,3.0186024137363376,fde,ml
20,2.0195977361106134,fde,ml
21,4.429057877119991,fde,ml
22,2.4928212842041506,fde,ml
23,0.950861296308203,fde,ml
24,3.776121140691451,fde,ml
25,2.664651383227665,fde,ml
26,1.656504600782212,fde,ml
27,2.5225924090705,fde,ml
28,4.644795343044937,fde,ml
29,4.455835604891062,fde,ml
30,2.9105781337370384,fde,ml
31,4.6409480503557745,fde,ml
32,2.621899903207472,fde,ml
33,3.6774419436543844,fde,ml
34,2.1851022434335445,fde,ml
35,1.7295751184909216,fde,ml
36,5.1847305902507745,fde,ml
37,1.0935372019540224,fde,ml
38,2.028706627051945,fde,ml
39,4.288593018740516,fde,ml
40,0.7041384264774142,fde,ml
41,5.062629464556637,fde,ml
42,2.5820942189570046,fde,ml
43,4.041095005349567,fde,ml
44,5.716436799889048,fde,ml
45,1.3945065608291907,fde,ml
46,3.0633133836179653,fde,ml
47,1.576370413616608,fde,ml
48,1.2717607286691492,fde,ml
49,4.323536136436874,fde,ml
50,2.5120966592865708,fde,ml
51,2.289622675250821,fde,ml
52,5.013228225538437,fde,ml
53,1.2908382251508939,fde,ml
54,3.432940189736998,fde,ml
55,3.9337685086064473,fde,ml
56,1.467879579945077,fde,ml
57,4.264842332082071,fde,ml
58,4.2579729906110035,fde,ml
59,2.098615251536346,fde,ml
60,4.627448313554979,fde,ml
61,0.4599023932160198,fde,ml
62,7.641969888386144,fde,ml
63,5.196922025529405,fde,ml
64,2.037086059172057,fde,ml
65,3.0643584495518437,fde,ml
66,0.33818807790083444,fde,ml
67,4.981690651542907,fde,ml
68,6.477876940264223,fde,ml
69,2.2371215605301837,fde,ml
70,1.7703211216279522,fde,ml
71,0.9654634799751114,fde,ml
72,9.572876007239378,fde,ml
73,8.55143159452644,fde,ml
74,1.150634255497671,fde,ml
75,1.2197616345265427,fde,ml
76,0.9588782081255287,fde,ml
77,6.042342006235752,fde,ml
78,1.2409960147795671,fde,ml
79,1.2018794654747487,fde,ml
80,2.3144788437868655,fde,ml
81,3.8517134015833707,fde,ml
82,1.7510404746197128,fde,ml
83,1.1733675067820781,fde,ml
84,4.317821209454979,fde,ml
85,4.632164826260166,fde,ml
86,1.623958230739615,fde,ml
87,1.1088169405832908,fde,ml
88,5.0070403723301915,fde,ml
89,3.4291533634129325,fde,ml
90,3.5428749026772977,fde,ml
91,2.3676536941998254,fde,ml
92,2.4317481126711855,fde,ml
93,4.1177522691145825,fde,ml
94,2.5899805184190305,fde,ml
95,3.470145841878535,fde,ml
96,4.3373443480778375,fde,ml
97,3.4130538745781034,fde,ml
98,2.5735185925552497,fde,ml
99,3.7135439406318365,fde,ml
100,2.3533098692939722,fde,ml
101,3.5767062166906634,fde,ml
102,1.1958236632968595,fde,ml
103,4.3366496628391875,fde,ml
104,1.1051037226439002,fde,ml
105,4.136288902351948,fde,ml
106,1.791034619562825,fde,ml
107,2.9267510420306553,fde,ml
108,1.5721126945876038,fde,ml
109,5.51744354535494,fde,ml
110,3.213762233973562,fde,ml
111,0.6708982073647706,fde,ml
